epoch,learning_rate
0.0,3.1578947368421047e-06
0.0,6.3157894736842095e-06
0.0,9.473684210526315e-06
0.0,1.2631578947368419e-05
0.01,1.5789473684210522e-05
0.01,1.894736842105263e-05
0.01,2.2105263157894733e-05
0.01,2.5263157894736838e-05
0.01,2.8421052631578946e-05
0.01,3.1578947368421045e-05
0.01,3.4736842105263153e-05
0.01,3.789473684210526e-05
0.01,4.105263157894737e-05
0.01,4.4210526315789466e-05
0.02,4.7368421052631574e-05
0.02,5.0526315789473676e-05
0.02,5.3684210526315784e-05
0.02,5.684210526315789e-05
0.02,5.9999999999999995e-05
0.02,6.315789473684209e-05
0.02,6.63157894736842e-05
0.02,6.947368421052631e-05
0.02,7.263157894736842e-05
0.03,7.578947368421052e-05
0.03,7.894736842105262e-05
0.03,8.210526315789474e-05
0.03,8.526315789473684e-05
0.03,8.842105263157893e-05
0.03,9.157894736842104e-05
0.03,9.473684210526315e-05
0.03,9.789473684210526e-05
0.03,0.00010105263157894735
0.03,0.00010421052631578947
0.04,0.00010736842105263157
0.04,0.00011052631578947366
0.04,0.00011368421052631579
0.04,0.00011684210526315788
0.04,0.00011999999999999999
0.04,0.00012315789473684208
0.04,0.00012631578947368418
0.04,0.0001294736842105263
0.04,0.0001326315789473684
0.05,0.00013578947368421052
0.05,0.00013894736842105261
0.05,0.0001421052631578947
0.05,0.00014526315789473683
0.05,0.00014842105263157893
0.05,0.00015157894736842105
0.05,0.00015473684210526317
0.05,0.00015789473684210524
0.05,0.00016105263157894736
0.05,0.00016421052631578948
0.06,0.00016736842105263155
0.06,0.00017052631578947367
0.06,0.0001736842105263158
0.06,0.00017684210526315786
0.06,0.00017999999999999998
0.06,0.00018315789473684208
0.06,0.0001863157894736842
0.06,0.0001894736842105263
0.06,0.0001926315789473684
0.07,0.0001957894736842105
0.07,0.0001989473684210526
0.07,0.0002021052631578947
0.07,0.00020526315789473683
0.07,0.00020842105263157895
0.07,0.00021157894736842102
0.07,0.00021473684210526314
0.07,0.00021789473684210526
0.07,0.00022105263157894733
0.07,0.00022421052631578945
0.08,0.00022736842105263157
0.08,0.00023052631578947364
0.08,0.00023368421052631576
0.08,0.00023684210526315788
0.08,0.00023999999999999998
0.08,0.00024315789473684207
0.08,0.00024631578947368417
0.08,0.0002494736842105263
0.08,0.00025263157894736836
0.09,0.0002557894736842105
0.09,0.0002589473684210526
0.09,0.0002621052631578947
0.09,0.0002652631578947368
0.09,0.0002684210526315789
0.09,0.00027157894736842104
0.09,0.0002747368421052631
0.09,0.00027789473684210523
0.09,0.00028105263157894735
0.09,0.0002842105263157894
0.1,0.00028736842105263154
0.1,0.00029052631578947366
0.1,0.0002936842105263158
0.1,0.00029684210526315785
0.1,0.0003
0.1,0.0002999999916137571
0.1,0.00029999996645502946
0.1,0.0002999999245238197
0.1,0.0002999998658201328
0.11,0.000299999790343975
0.11,0.00029999969809535497
0.11,0.0002999995890742829
0.11,0.0002999994632807711
0.11,0.0002999993207148335
0.11,0.0002999991613764862
0.11,0.00029999898526574686
0.11,0.00029999879238263525
0.11,0.0002999985827271729
0.11,0.0002999983562993833
0.12,0.0002999981130992917
0.12,0.00029999785312692537
0.12,0.0002999975763823134
0.12,0.0002999972828654866
0.12,0.0002999969725764779
0.12,0.000299996645515322
0.12,0.00029999630168205544
0.12,0.0002999959410767166
0.12,0.0002999955636993459
0.13,0.00029999516954998555
0.13,0.0002999947586286795
0.13,0.00029999433093547384
0.13,0.00029999388647041625
