epoch,loss
0.95,0.3667
0.95,0.3547
0.95,0.4148
0.95,0.3113
0.96,0.5247
0.96,0.4692
0.96,0.3562
0.96,0.3793
0.97,0.5407
0.97,0.4324
0.97,0.3939
0.97,0.457
0.98,0.4062
0.98,0.438
0.98,0.4567
0.98,0.3677
0.99,0.4046
0.99,0.4543
0.99,0.41
1.0,0.3407
1.0,0.4399
1.0,0.5272
1.0,0.4796
1.01,0.4112
1.01,0.353
1.01,0.3019
1.01,0.3828
1.02,0.4021
1.02,0.4751
1.02,0.4518
1.02,0.3488
1.03,0.3009
1.03,0.3684
1.03,0.3621
1.03,0.5008
1.04,0.5718
1.04,0.3567
1.04,0.4286
1.05,0.4278
1.05,0.4792
1.05,0.3883
1.05,0.3799
1.06,0.378
1.06,0.4884
1.06,0.5078
1.06,0.5416
1.07,0.4057
1.07,0.4165
1.07,0.2275
1.07,0.3569
1.08,0.3491
1.08,0.3978
1.08,0.3123
1.08,0.3667
1.09,0.3447
1.09,0.3003
1.09,0.3832
1.1,0.4012
1.1,0.3789
1.1,0.2906
1.1,0.3303
1.11,0.4339
1.11,0.2965
1.11,0.5114
1.11,0.4636
1.12,0.3107
1.12,0.4763
1.12,0.3933
1.12,0.4948
1.13,0.3608
1.13,0.4421
1.13,0.3149
1.13,0.3987
1.14,0.291
1.14,0.4847
1.14,0.4259
1.15,0.358
1.15,0.3472
1.15,0.4307
1.15,0.3434
1.16,0.3829
1.16,0.6012
1.16,0.3579
1.16,0.3786
1.17,0.331
1.17,0.2173
1.17,0.3238
1.17,0.412
1.18,0.3773
1.18,0.328
1.18,0.3261
1.18,0.435
1.19,0.2459
1.19,0.3722
1.19,0.3895
1.2,0.3735
1.2,0.3531
1.2,0.4321
1.2,0.4181
1.21,0.364
1.21,0.2859
1.21,0.4285
1.21,0.2933
1.22,0.4683
1.22,0.4562
1.22,0.2415
1.22,0.3645
1.23,0.4329
1.23,0.3349
1.23,0.2798
1.23,0.3807
1.24,0.4851
1.24,0.3284
1.24,0.3765
1.25,0.4347
1.25,0.4839
1.25,0.3906
1.25,0.4083
1.26,0.424
1.26,0.334
1.26,0.3086
1.26,0.4331
1.27,0.3706
1.27,0.5088
1.27,0.3395
1.27,0.4401
1.28,0.3785
1.28,0.6172
1.28,0.4344
1.28,0.314
1.29,0.5899
1.29,0.3749
1.29,0.3918
1.3,0.3465
1.3,0.4219
1.3,0.5055
1.3,0.2807
1.31,0.3681
1.31,0.4452
1.31,0.3868
1.31,0.3387
1.32,0.2644
1.32,0.3734
1.32,0.3596
1.32,0.4349
1.33,0.4305
1.33,0.4044
1.33,0.2925
1.33,0.4233
1.34,0.4156
1.34,0.2495
1.34,0.3096
1.35,0.3424
1.35,0.3595
1.35,0.3286
1.35,0.3837
1.36,0.3707
1.36,0.3812
1.36,0.418
1.36,0.4829
1.37,0.4622
1.37,0.2866
1.37,0.3631
1.37,0.4774
1.38,0.4523
1.38,0.3425
1.38,0.4452
1.38,0.3931
1.39,0.4072
1.39,0.4892
1.39,0.4011
1.4,0.3559
1.4,0.4373
1.4,0.4785
1.4,0.3269
1.41,0.4298
1.41,0.3615
1.41,0.3497
1.41,0.4332
1.42,0.2958
1.42,0.422
1.42,0.4802
1.42,0.4274
1.43,0.4902
1.43,0.3119
1.43,0.3818
1.43,0.2804
1.44,0.3842
1.44,0.3982
1.44,0.5002
1.45,0.3874
1.45,0.3794
1.45,0.3884
1.45,0.3697
1.46,0.441
1.46,0.3098
1.46,0.3361
1.46,0.3538
1.47,0.3604
1.47,0.3183
1.47,0.3611
1.47,0.3076
1.48,0.2894
1.48,0.3896
1.48,0.4403
1.48,0.3687
1.49,0.2864
1.49,0.3162
1.49,0.3381
1.5,0.3802
1.5,0.4784
1.5,0.4911
1.5,0.3607
1.51,0.3301
1.51,0.3674
1.51,0.3733
1.51,0.3389
1.52,0.4505
1.52,0.4076
1.52,0.376
1.52,0.3139
1.53,0.3833
1.53,0.4778
1.53,0.4159
1.54,0.3858
1.54,0.4059
1.54,0.3799
1.54,0.4825
1.55,0.3355
1.55,0.4251
1.55,0.3506
1.55,0.4124
1.56,0.4181
1.56,0.337
1.56,0.3859
1.56,0.4473
1.57,0.3909
1.57,0.4955
1.57,0.5179
