epoch,loss
0.38,0.1829
0.38,0.2803
0.38,0.3102
0.38,0.2925
0.38,0.4063
0.39,0.327
0.39,0.2637
0.39,0.3421
0.39,0.2711
0.39,0.5012
0.39,0.4215
0.39,0.3192
0.39,0.2746
0.39,0.3058
0.39,0.301
0.4,0.2634
0.4,0.3611
0.4,0.2804
0.4,0.2629
0.4,0.3244
0.4,0.4307
0.4,0.3195
0.4,0.4655
0.4,0.2195
0.41,0.4894
0.41,0.2557
0.41,0.2529
0.41,0.3155
0.41,0.1975
0.41,0.2394
0.41,0.3753
0.41,0.3798
0.41,0.2309
0.41,0.2686
0.42,0.3228
0.42,0.2318
0.42,0.2238
0.42,0.1954
0.42,0.2489
0.42,0.2096
0.42,0.1995
0.42,0.2529
0.42,0.2723
0.43,0.1831
0.43,0.2347
0.43,0.1835
0.43,0.2163
0.43,0.2733
0.43,0.2843
0.43,0.3428
0.43,0.1411
0.43,0.2982
0.43,0.2642
0.44,0.2484
0.44,0.3789
0.44,0.2188
0.44,0.304
0.44,0.4458
0.44,0.1733
0.44,0.2967
0.44,0.2693
0.44,0.2496
0.45,0.2163
0.45,0.2785
0.45,0.2193
0.45,0.2109
0.45,0.2473
0.45,0.3031
0.45,0.3452
0.45,0.3161
0.45,0.3054
0.45,0.2549
0.46,0.2491
0.46,0.2598
0.46,0.2654
0.46,0.2926
0.46,0.3314
0.46,0.3348
0.46,0.2757
0.46,0.4391
0.46,0.2447
0.47,0.2881
0.47,0.3054
0.47,0.2766
0.47,0.3044
0.47,0.3081
0.47,0.2721
0.47,0.2327
0.47,0.2839
0.47,0.2842
0.47,0.2189
0.48,0.217
0.48,0.2388
0.48,0.1438
0.48,0.3593
0.48,0.1909
0.48,0.2074
0.48,0.3339
0.48,0.1276
0.48,0.3068
0.49,0.3248
0.49,0.2322
0.49,0.2571
0.49,0.2612
0.49,0.2246
0.49,0.1519
0.49,0.1107
0.49,0.2668
0.49,0.2121
0.49,0.2314
0.5,0.1971
0.5,0.3065
0.5,0.3269
0.5,0.2852
0.5,0.3492
0.5,0.2599
0.5,0.2436
0.5,0.118
0.5,0.2
0.51,0.2531
0.51,0.2683
0.51,0.3479
0.51,0.2247
0.51,0.1341
0.51,0.1857
0.51,0.3459
0.51,0.4136
0.51,0.2662
0.52,0.2738
0.52,0.2637
0.52,0.2164
0.52,0.3397
0.52,0.1735
0.52,0.2359
0.52,0.477
0.52,0.2903
0.52,0.2393
0.52,0.2207
0.53,0.2845
0.53,0.2272
0.53,0.3746
0.53,0.2364
0.53,0.3795
0.53,0.3203
0.53,0.2284
0.53,0.3297
0.53,0.4009
0.54,0.2588
0.54,0.2003
0.54,0.2279
0.54,0.1823
0.54,0.1376
0.54,0.2953
0.54,0.214
0.54,0.2083
0.54,0.2585
0.54,0.2247
0.55,0.3288
0.55,0.1964
0.55,0.2639
0.55,0.2629
0.55,0.2843
0.55,0.3242
0.55,0.2532
0.55,0.2995
0.55,0.2675
0.56,0.3341
0.56,0.3303
0.56,0.3326
0.56,0.4056
0.56,0.381
0.56,0.1562
0.56,0.3396
0.56,0.237
0.56,0.2251
